type,bookmaker,game_id,market_id,line,overround,team,player_name_std
unmapped_player,,,,,,Port Adelaide,E Mackinlay
unmapped_player,,,,,,Port Adelaide,J Finlayson
unmapped_player,,,,,,Port Adelaide,J Lai
unmapped_player,,,,,,Port Adelaide,W Lorenz
unmapped_player,,,,,,Port Adelaide,R Atkins
unmapped_player,,,,,,Port Adelaide,H Ramm
unmapped_player,,,,,,Port Adelaide,E Mackinlay
unmapped_player,,,,,,Port Adelaide,O Wines
unmapped_player,,,,,,Port Adelaide,J Sinn
unmapped_player,,,,,,Port Adelaide,W Lorenz
unmapped_player,,,,,,Port Adelaide,K Farrell
unmapped_player,,,,,,Port Adelaide,B Z-Thatcher
unmapped_player,,,,,,Port Adelaide,D B-Jones
unmapped_player,,,,,,Gold Coast,B Long
unmapped_player,,,,,,Gold Coast,J Farrar
unmapped_player,,,,,,Gold Coast,B King
unmapped_player,,,,,,Port Adelaide,J Mead
unmapped_player,,,,,,Port Adelaide,A Aliir
unmapped_player,,,,,,Port Adelaide,L Jones
unmapped_player,,,,,,Gold Coast,T Miller
unmapped_player,,,,,,Gold Coast,B Ainsworth
unmapped_player,,,,,,Gold Coast,C Budarick
unmapped_player,,,,,,Port Adelaide,J Berry
unmapped_player,,,,,,Port Adelaide,W Drew
unmapped_player,,,,,,Port Adelaide,M Liddy
unmapped_player,,,,,,Gold Coast,L Weller
unmapped_player,,,,,,Gold Coast,M Rowell
unmapped_player,,,,,,Gold Coast,B Fiorini
unmapped_player,,,,,,Port Adelaide,W Rioli
unmapped_player,,,,,,Port Adelaide,J Whitlock
unmapped_player,,,,,,Port Adelaide,T Boak
unmapped_player,,,,,,Gold Coast,J Noble
unmapped_player,,,,,,Gold Coast,B Uwland
unmapped_player,,,,,,Gold Coast,J Jeffrey
unmapped_player,,,,,,Port Adelaide,J McEntee
unmapped_player,,,,,,Port Adelaide,M Georgiades
unmapped_player,,,,,,Port Adelaide,J Richards
unmapped_player,,,,,,Gold Coast,W Powell
unmapped_player,,,,,,Gold Coast,M Andrew
unmapped_player,,,,,,Gold Coast,S Collins
unmapped_player,,,,,,Port Adelaide,J Sweet
unmapped_player,,,,,,Port Adelaide,C Rozee
unmapped_player,,,,,,Port Adelaide,Z Butters
unmapped_player,,,,,,Gold Coast,J Witts
unmapped_player,,,,,,Gold Coast,A Davies
unmapped_player,,,,,,Gold Coast,N Anderson
unmapped_player,,,,,,Gold Coast,S Flanders
unmapped_player,,,,,,Gold Coast,A Sexton
unmapped_player,,,,,,Gold Coast,E Read
unmapped_player,,,,,,Gold Coast,L Gulbin
unmapped_player,,,,,,Gold Coast,O Adams
unmapped_player,,,,,,Gold Coast,N Holman
unmapped_player,,,,,,Gold Coast,N Moyle
unmapped_player,,,,,,Gold Coast,L Lombard
unmapped_player,,,,,,Gold Coast,L Gulbin
unmapped_player,,,,,,Gold Coast,N Holman
unmapped_player,,,,,,North Melbourne,A Corr
unmapped_player,,,,,,North Melbourne,B Scott
unmapped_player,,,,,,North Melbourne,G Payne
unmapped_player,,,,,,North Melbourne,C Harvey
unmapped_player,,,,,,North Melbourne,Z Banch
unmapped_player,,,,,,North Melbourne,T Goad
unmapped_player,,,,,,North Melbourne,W Phillips
unmapped_player,,,,,,North Melbourne,F Maley
unmapped_player,,,,,,North Melbourne,A Corr
unmapped_player,,,,,,North Melbourne,Z Banch
unmapped_player,,,,,,North Melbourne,C Zurhaar
unmapped_player,,,,,,North Melbourne,M Whitlock
unmapped_player,,,,,,North Melbourne,C Comben
unmapped_player,,,,,,North Melbourne,T Pink
unmapped_player,,,,,,North Melbourne,G Logue
unmapped_player,,,,,,Adelaide,S Draper
unmapped_player,,,,,,Adelaide,T Walker
unmapped_player,,,,,,Adelaide,D Fogarty
unmapped_player,,,,,,North Melbourne,T Powell
unmapped_player,,,,,,North Melbourne,C Daniel
unmapped_player,,,,,,North Melbourne,F O'Sullivan
unmapped_player,,,,,,Adelaide,B Keays
unmapped_player,,,,,,Adelaide,R Thilthorpe
unmapped_player,,,,,,Adelaide,A N-Bullen
unmapped_player,,,,,,North Melbourne,D Stephens
unmapped_player,,,,,,North Melbourne,L D-Uniacke
unmapped_player,,,,,,North Melbourne,C McKercher
unmapped_player,,,,,,Adelaide,I Cumming
unmapped_player,,,,,,Adelaide,J Dawson
unmapped_player,,,,,,Adelaide,D Curtin
unmapped_player,,,,,,North Melbourne,P Curtis
unmapped_player,,,,,,North Melbourne,C Trembath
unmapped_player,,,,,,North Melbourne,J Simpkin
unmapped_player,,,,,,Adelaide,W Milera
unmapped_player,,,,,,Adelaide,N Murray
unmapped_player,,,,,,Adelaide,R Laird
unmapped_player,,,,,,North Melbourne,L Parker
unmapped_player,,,,,,North Melbourne,J Darling
unmapped_player,,,,,,North Melbourne,J Konstanty
unmapped_player,,,,,,Adelaide,J Worrell
unmapped_player,,,,,,Adelaide,M Keane
unmapped_player,,,,,,Adelaide,H Bond
unmapped_player,,,,,,North Melbourne,T Xerri
unmapped_player,,,,,,North Melbourne,H Sheezel
unmapped_player,,,,,,North Melbourne,G Wardlaw
unmapped_player,,,,,,Adelaide,R O'Brien
unmapped_player,,,,,,Adelaide,S Berry
unmapped_player,,,,,,Adelaide,J Soligo
unmapped_player,,,,,,Adelaide,J Peatling
unmapped_player,,,,,,Adelaide,Z Taylor
unmapped_player,,,,,,Adelaide,B Smith
unmapped_player,,,,,,Adelaide,M Hinge
unmapped_player,,,,,,Adelaide,B Dowling
unmapped_player,,,,,,Adelaide,C Burgess
unmapped_player,,,,,,Adelaide,L Murphy
unmapped_player,,,,,,Adelaide,L Nankervis
unmapped_player,,,,,,Adelaide,R Laird
unmapped_player,,,,,,Adelaide,B Dowling
unmapped_player,,,,,,Adelaide,S Draper
unmapped_player,,,,,,Adelaide,L Murphy
unmapped_player,,,,,,Adelaide,I Rankine
unmapped_player,,,,,,Adelaide,H Schoenberg
unmapped_player,,,,,,Richmond,H Armstrong
unmapped_player,,,,,,Richmond,T Hotton
unmapped_player,,,,,,Richmond,J Gibcus
unmapped_player,,,,,,Richmond,T Sonsie
unmapped_player,,,,,,Richmond,L Trainor
unmapped_player,,,,,,Richmond,J Koschitzke
unmapped_player,,,,,,Richmond,K Smith
unmapped_player,,,,,,Richmond,S Green
unmapped_player,,,,,,Richmond,J Gibcus
unmapped_player,,,,,,Richmond,L Trainor
unmapped_player,,,,,,Richmond,N Vlastuin
unmapped_player,,,,,,Richmond,S Green
unmapped_player,,,,,,Richmond,N Broad
unmapped_player,,,,,,Richmond,B Miller
unmapped_player,,,,,,Richmond,T Young
unmapped_player,,,,,,Geelong,P Dangerfield
unmapped_player,,,,,,Geelong,J Cameron
unmapped_player,,,,,,Geelong,T Stengle
unmapped_player,,,,,,Richmond,T Brown
unmapped_player,,,,,,Richmond,S Banks
unmapped_player,,,,,,Richmond,J Short
unmapped_player,,,,,,Geelong,B Close
unmapped_player,,,,,,Geelong,S Mannagh
unmapped_player,,,,,,Geelong,G Miers
